Vocab-expression	Vocab-meaning	Vocab-sound-local
短所	shortcoming, defect	tansho	1
飲み込む	swallow, grasp	nomikomu	1
生やす	grow, cultivate	hayasu	1
文学者	literary person, literati	bungakusha	1
弱気	timid, weak-spirited	yowaki	1
ぱっと	suddenly, quickly	patto	1
必然	inevitable, necessary	hitsuzen	1
ひょっとしたら	perhaps	hyottoshitara	1
見つめる	stare	mitsumeru	1
目上	one's superiors, one's elders	meue	1
年長	seniority	nenchou	1
見習う	learn, follow someone's example	minarau	1
無能	inefficiency, incompetence	munou	1
パンツ	pants, trousers	pantsu	1
真夜中	midnight, middle of the night	mayonaka	1
似合う	suit, match well	niau	1
洋式	Western style	youshiki	1
若々しい	youthful, young-looking	wakawakashii	1
短気	short temper	tanki	1
取り返す	take back, regain	torikaesu	1
和やか	peaceful, mild	nagoyaka	1
似せる	imitate, forge	niseru	1
にっこり	smiling, grinning	nikkori	1
待ち合わせる	wait for, meet by appointment	machiawaseru	1
何で	why, what for	nande	1
値切る	bargain, haggle	negiru	1
元々	originally, by nature	motomoto	1
指差す	point to	yubisasu	1
とっさに	at once	tossani	1
割り	rate	wari	1
売買	buying and selling, trade	baibai	1
町外れ	outskirts of a town	machihazure	1
洋間	Western-style room	youma	1
短期大学	junior college	tankidaigaku	1
月初め	at the beginning of the month	tsukihajime	1
度忘れ	memory lapse, mental block	dowasure	1
にやにや	grin to oneself	niyaniya	1
真四角	square	mashikaku	1
物覚え	memory	monooboe	1
その内	before long, sooner or later	sonouchi	1
知人	acquaintance, friend	chijin	1
つぶやく	mutter, murmur	tsubuyaku	1
強気	tough, bullish	tsuyoki	1
出会う	meet	deau	1
低	low	tei	1
何しろ	anyhow, as you know	nanishiro	1
生	raw, fresh	nama	1
にらむ	glare, stare	niramu	1
能	ability, capability	nou	1
のんき	carefree, easy-going	nonki	1
はねる	run over, hit	haneru	1
ふもと	foot of the mountain	fumoto	1
ほほ	cheek	hoho	1
ほほえむ	smile	hohoemu	1
真心	sincerity, true heart	magokoro	1
町中	the downtown area, the central area of a town	machinaka	1
まれ	rarely	mare	1
無言	silence, muteness	mugon	1
めくる	turn over	mekuru	1
もうかる	make a profit, be profitable	moukaru	1
最も	the most	mottomo	1
行方	one's whereabouts	yukue	1
予言	prediction, forecast	yogen	1
悪口	slander, abuse	warukuchi	1
もうじき	soon	moujiki	1
やたらに	frequently, persistently	yatarani	1
結局	after all, finally	kekkyoku	1
友情	friendship	yuujou	1
結び	end, close	musubi	1
婚約	engagement, betrothal	konyaku	1
何と	what, how	nanto	1
ちっとも	nothing at all	chittomo	1
未婚	unmarried	mikon	1
この度	on this occasion	konotabi	1
一種	a kind of, a sort of	isshu	1
最高	maximum, supreme	saikou	1
試合	match, game	shiai	1
満足	satisfaction, contentment	manzoku	1
果たして	as was expected, really	hatashite	1
申し上げる	speak humbly, do	moushiageru	1
早朝	early morning	souchou	1
効く	be effective	kiku	1
効力	effect, validity	kouryoku	1
無効	invalidity, ineffectiveness	mukou	1
自動	automatic operation	jidou	1
自国	one's own country	jikoku	1
生き方	way of life, lifestyle	ikikata	1
各自	each one, every individual	kakuji	1
高める	raise, enhance	takameru	1
パンク	puncture	panku	1
経由	via, through	keiyu	1
信用	trust, credit	shinyou	1
お前	you, darling	omae	1
発達	development, growth	hattatsu	1
通信	correspondence, communication	tsuushin	1
信頼	reliance, confidence	shinrai	1
依頼	request, commission	irai	1
頼る	rely on, depend on	tayoru	1
頼み	request, favor	tanomi	1
頼もしい	reliable, dependable	tanomoshii	1
国民	the people, nation	kokumin	1
主要	main, principal	shuyou	1
主に	mainly, mostly	omoni	1
主食	staple food	shushoku	1
主	main, chief	omo	1
使い	errand	tsukai	1
家主	landlord	yanushi	1
主義	principle, -ism	shugi	1
共産主義	Communism	kyousanshugi	1
義理	sense of duty, justice	giri	1
民主	democracy	minshu	1
議会	assembly, council	gikai	1
議題	topic for discussion, agenda	gidai	1
初日	first day, opening day	shonichi	1
次回	next time	jikai	1
重役	executive	juuyaku	1
本社	head office	honsha	1
不思議	mystery, wonder	fushigi	1
つい	inadvertently, accidentally	tsui	1
明日	tomorrow	myounichi	1
長引く	be prolonged, drag on	nagabiku	1
明朝	tomorrow morning	myouchou	1
議論	argument, discussion	giron	1
結論	conclusion	ketsuron	1
学会	academic association, academic conference	gakkai	1
仕上げ	completion, finishing	shiage	1
引用	quotation, citation	inyou	1
下書き	draft	shitagaki	1
世論	public opinion	seron	1
理論	theory	riron	1
まとめ	summary	matome	1
違反	violation, breach	ihan	1
反発	reaction, backlash	hanpatsu	1
反論	objection, counterargument	hanron	1
反する	oppose, act contrary to	hansuru	1
少数	small number, minority	shousuu	1
対話	dialogue, conversation	taiwa	1
対	pair	tsui	1
世論	public opinion	yoron	1
応用	application	ouyou	1
一応	tentatively	ichiou	1
回答	reply, answer	kaitou	1
アンケート	questionnaire	ankeeto	1
ごまかす	deceive, evade	gomakasu	1
行	line, row	gyou	1
本文	text, this text	honbun	1
問い	question, inquiry	toi	1
特色	characteristic	tokushoku	1
区別	distinction, classification	kubetsu	1
差別	discrimination	sabetsu	1
性別	sex, gender	seibetsu	1
性	sex, nature	sei	1
別に	especially, particularly	betsuni	1
送別会	farewell party	soubetsukai	1
専門	specialty, profession	senmon	1
外来語	loanword, foreign word	gairaigo	1
実用	practical use, utility	jitsuyou	1
経済的	economical, economic	keizaiteki	1
才能	talent, ability	sainou	1
自主的	autonomous, voluntary	jishuteki	1
合理的	rational, logical	gouriteki	1
形式的	formal	keishikiteki	1
実用的	practical	jitsuyouteki	1
本格的	full-scale, authentic	honkakuteki	1
全面的	all-out, overall	zenmenteki	1
論理的	logical	ronriteki	1
知的	intellectual, mental	chiteki	1
目的地	destination, goal	mokutekichi	1
文化的	cultural	bunkateki	1
通り過ぎる	go past, pass	toorisugiru	1
男性的	masculine, manly	danseiteki	1
普段	usual, ordinary	fudan	1
なさる	do	nasaru	1
並み	ordinary, average	nami	1
男子	boy, young man	danshi	1
もたらす	bring about, lead to	motarasu	1
平面	level surface, plain	heimen	1
平行	parallel, side by side	heikou	1
平野	plain, open field	heiya	1
平日	weekday	heijitsu	1
以下	below	ika	1
平均	average, equilibrium	heikin	1
高等	higher, high-grade	koutou	1
上等	first-class, premium	joutou	1
同等	equality	doutou	1
対等	equality, parity	taitou	1
特有	characteristic, special	tokuyuu	1
病室	patient room, ward	byoushitsu	1
病人	sick person, patient	byounin	1
弱る	weaken, be debilitated	yowaru	1
イスラム教	Islam, Muslim religion	isuramukyou	1
都立	metropolitan, Tokyo metropolitan	toritsu	1
医学	medical science, medicine	igaku	1
生える	grow, spring up	haeru	1
科学者	scientist	kagakusha	1
科目	subject	kamoku	1
自然科学	natural science	shizenkagaku	1
思い	thoughts, feelings	omoi	1
死者	dead person, the deceased	shisha	1
生死	life and death	seishi	1
病死	death from sickness	byoushi	1
天国	paradise	tengoku	1
死亡	death	shibou	1
亡くす	lose (in death)	nakusu	1
人手	hand, manpower	hitode	1
多忙	very busy	tabou	1
知らず知らず	unawares, without knowing it	shirazushirazu	1
疲れ	fatigue, exhaustion	tsukare	1
休める	give a rest, set at ease	yasumeru	1
目薬	eye drops	megusuri	1
禁じる	prohibit, forbid	kinjiru	1
立ち入り禁止	no trespassing	tachiirikinshi	1
酒屋	liquor store	sakaya	1
禁酒	abstention from alcohol	kinshu	1
つぐ	pour, pour into	tsugu	1
土産	souvenir	miyage	1
酔う	get drunk	you	1
会場	venue, meeting place	kaijou	1
取り上げる	take up, confiscate	toriageru	1
険しい	steep, craggy	kewashii	1
保つ	preserve, sustain	tamotsu	1
万一	if by any chance	man'ichi	1
問い合わせる	inquire, contact	toiawaseru	1
保証	guarantee, warranty	hoshou	1
保証人	guarantor	hoshounin	1
生存	existence, survival	seizon	1
ご存じ	know	gozonji	1
保存	preservation, conservation	hozon	1
低温	low temperature	teion	1
存じる	think, know	zonjiru	1
注ぐ	pour into, concentrate	sosogu	1
受け入れる	accept, accommodate	ukeireru	1
意向	intention, inclination	ikou	1
意図	intention, aim	ito	1
意義	meaning, significance	igi	1
活発	lively, active	kappatsu	1
好意	favor, affection	koui	1
意地悪	nastiness, ill-natured person	ijiwaru	1
もっとも	quite right	mottomo	1
まとまる	be collected	matomaru	1
同意	consent, approval	doui	1
無意味	meaningless, absurd	muimi	1
当人	the person in question	tounin	1
生意気	cheeky, conceited	namaiki	1
面	surface, aspect	men	1
文	writings, sentence	bun	1
金額	amount of money, sum	kingaku	1
確定	decision, confirmation	kakutei	1
解答	solution, answer	kaitou	1
認可	approval, authorization	ninka	1
認める	recognize, acknowledge	mitomeru	1
効率	efficiency	kouritsu	1
確率	probability, rate	kakuritsu	1
軽率	rash, light-headed	keisotsu	1
率直	frank, openhearted	sotchoku	1
能率	efficiency	nouritsu	1
機会	opportunity, occasion	kikai	1
親しむ	get close to, get familiar with	shitashimu	1
時機	opportunity, chance	jiki	1
持ち込む	bring in, carry on	mochikomu	1
要するに	in a word, in short	yousuruni	1
制御	control, command	seigyo	1
内部	interior, inner parts	naibu	1
分解	taking apart	bunkai	1
楽器	musical instrument	gakki	1
食器	tableware, dinner set	shokki	1
器用	skillful, clever	kiyou	1
受話器	receiver	juwaki	1
器	vessel, dish	utsuwa	1
器械	instrument, apparatus	kikai	1
取材	collection of data, gathering of news	shuzai	1
具合	condition, health	guai	1
家具	furniture	kagu	1
雨具	rain gear, rainwear	amagu	1
乗客	passenger	joukyaku	1
論理	logic	ronri	1
準急	local express	junkyuu	1
設立	establishment, foundation	setsuritsu	1
器具	utensil, implement	kigu	1
使用	usage	shiyou	1
社説	editorial	shasetsu	1
実物	real thing, actual object	jitsubutsu	1
学説	theory	gakusetsu	1
手元	at hand	temoto	1
一通り	briefly, once over	hitotoori	1
公立	public	kouritsu	1
不公平	unfair, unjust	fukouhei	1
やっつける	beat, let someone have it	yattsukeru	1
死体	corpse, body	shitai	1
遠足	excursion, hike	ensoku	1
遊園地	amusement park	yuuenchi	2
人出	turnout, crowd	hitode	1
打ち上げる	shoot up	uchiageru	1
祭日	national holiday, festival day	saijitsu	1
国際的	international	kokusaiteki	1
国際化	internationalization	kokusaika	1
交際	association, friendship	kousai	1
際	occasion, time	sai	1
座席	seat	zaseki	1
飛び出す	fly out, dash out	tobidasu	1
飛ばす	fly, shoot	tobasu	1
飛び上がる	fly up, jump up	tobiagaru	1
つばめ	swallow	tsubame	1
はえ	fly	hae	1
飛行	flight, aviation	hikou	1
よける	avoid, evade	yokeru	1
ぴょんと	jump	pyonto	1
航空	aviation	koukuu	1
航空機	aircraft, airplane	koukuuki	1
航空券	airline ticket	koukuuken	1
材木	timber, wood	zaimoku	1
乗り出す	lean forward, embark on	noridasu	1
船長	captain	senchou	1
水力	waterpower, hydraulic power	suiryoku	1
半島	peninsula	hantou	1
島	island	tou	1
完全	perfect, complete	kanzen	1
不完全	imperfection, incompleteness	fukanzen	1
結成	organization, formation	kessei	1
賛成	approval, agreement	sansei	1
成人	adult, grownup	seijin	1
反映	reflection	han'ei	1
要する	require, need	yousuru	1
無論	of course, no doubt	muron	1
未成年	minor, underage	miseinen	1
確信	firm belief, conviction	kakushin	1
率	ratio, proportion	ritsu	1
違いない	no mistaking it, for certain	chigainai	1
森林	forest, woodland	shinrin	1
失敗	failure, mistake	shippai	1
せい	cause, fault	sei	1
勝敗	victory or defeat	shouhai	1
事業	business, achievement	jigyou	1
立ち直る	recover, regain one's footing	tachinaoru	1
原則	principle, general rule	gensoku	1
過ごす	pass, let pass	sugosu	1
原理	principle, theory	genri	1
原子力	atomic energy, nuclear power	genshiryoku	1
初夏	early summer	shoka	1
返る	be restored to, return to	kaeru	1
野原	field, plain	nohara	1
原	plain, field	hara	1
間接	indirect	kansetsu	1
要因	primary factor, main cause	youin	1
不明	unknown	fumei	1
証券	bill, bond	shouken	1
資料	materials, data	shiryou	1
資格	qualifications, competence	shikaku	1
資本主義	capitalism	shihonshugi	1
限り	limit, as far as possible	kagiri	1
無限	infinite, endless	mugen	1
現金	cash	genkin	1
一生	a lifetime	isshou	1
願書	application form	gansho	1
何とか	somehow or other, one way or another	nantoka	1
願い	wish, request	negai	1
手数	trouble, bother	tesuu	1
一言	single word	hitokoto	1
説	theory, opinion	setsu	1
後者	the latter	kousha	1
正面	front, face	shoumen	1
正午	noon, noontime	shougo	1
正義	justice, righteousness	seigi	1
正門	main gate, main entrance	seimon	1
正解	right answer, correct solution	seikai	1
正方形	square	seihoukei	1
正座	sitting upright with legs folded under one	seiza	1
正当	just, legal	seitou	1
不正	fraud, impropriety	fusei	1
同性	of the same sex	dousei	1
異常	extraordinary, exceptional	ijou	1
日常	daily, everyday	nichijou	1
意識	consciousness, awareness	ishiki	1
常識	common sense, common knowledge	joushiki	1
異性	opposite sex	isei	1
等しい	equal, same	hitoshii	1
非常識	lack of common sense	hijoushiki	1
非常口	emergency exit	hijouguchi	1
もてる	be popular with the opposite sex	moteru	1
好調	favorable condition	kouchou	1
下調べ	preliminary investigation, preparation	shitashirabe	1
どうも	for some reason, somehow	doumo	1
調子	tone, condition	choushi	1
不安定	instability	fuantei	1
体調	health condition	taichou	1
単調	monotonous, dull	tanchou	1
メーター	meter, taximeter	meetaa	1
整備	maintenance, servicing	seibi	1
整理	disposition, arrangement	seiri	1
調整	regulation, adjustment	chousei	1
整う	be in order, be adjusted	totonou	1
経費	expense	keihi	1
節約	economizing, saving	setsuyaku	1
行楽	excursion, outing	kouraku	1
調節	adjustment, regulation	chousetsu	1
田	rice field, rice paddy	ta	1
検査	inspection, examination	kensa	1
不安	uneasiness, anxiety	fuan	1
大便	stool, feces	daiben	1
提出	submittal	teishutsu	1
案	plan, proposal	an	1
案外	unexpectedly	angai	1
うなずく	nod	unazuku	1
反応	reaction, response	hannou	1
投票	vote, ballot	touhyou	1
役所	public office	yakusho	1
目標	target, goal	mokuhyou	1
標準	standard, norm	hyoujun	1
達成	attain, achieve	tassei	1
明確	clear, precise	meikaku	1
本年	this year	honnen	1
国連	United Nations	kokuren	1
連休	consecutive holidays	renkyuu	1
連れ	companion	tsure	1
次第	as soon as	shidai	1
連絡	connection, communication	renraku	1
方々	everyone, all people	houbou	1
前もって	in advance	maemotte	1
父母	father and mother, parents	fubo	1
接続	connection, joining	setsuzoku	1
前回	last time	zenkai	1
更に	furthermore, still more	sarani	1
市	city	shi	1
地価	price of land	chika	1
手続き	procedure, formalities	tetsuzuki	1
続々	in rapid succession, one after another	zokuzoku	1
続き	continuation, sequel	tsuzuki	1
長続き	lasting for a long time	nagatsuzuki	1
相変わらず	as usual, as before	aikawarazu	1
相当	correspondence, suitability	soutou	1
前半	first half	zenhan	1
思い切って	boldly, decisively	omoikitte	1
部長	section chief, department head	buchou	1
日ソ	Japanese-Soviet	nisso	1
記号	symbol, mark	kigou	1
記入	entry, record	kinyuu	1
生年月日	date of birth	seinengappi	1
暗記	memorization	anki	1
月日	date	gappi	1
経る	pass, pass through	heru	1
必死に	desperately	hisshini	1
記憶	memory, recollection	kioku	1
不確か	unreliable, uncertain	futashika	1
最低	lowest	saitei	1
録音テープ	tape	rokuonteepu	1
マスコミ	mass communication	masukomi	1
登山	climbing, mountaineer	tozan	1
登校	attending school	toukou	1
山登り	mountain climbing	yamanobori	1
定める	fix, determine	sadameru	1
社会科学	social sciences	shakaikagaku	1
機関	engine, agency	kikan	1
一切	not at all, not one bit	issai	1
係	person in charge	kakari	1
現状	present condition	genjou	1
ますます	increasingly	masumasu	1
実態	the actual situation, the realities	jittai	1
態度	attitude, manner	taido	1
非常	emergency, calamity	hijou	1
不自然	unnatural, artificial	fushizen	1
行政	administration	gyousei	1
関心	concern, interest	kanshin	1
政治家	politician	seijika	1
主体	agent, main constituent	shutai	1
人民	the people, populace	jinmin	1
体制	system, structure	taisei	1
無関心	apathy, indifference	mukanshin	1
無知	ignorance	muchi	1
外交	diplomacy, foreign relations	gaikou	1
府立	prefectural	furitsu	1
手段	means, way	shudan	1
市長	mayor	shichou	1
シーズン	season	shiizun	1
自主	independence, autonomy	jishu	1
種目	item, event	shumoku	1
入場	entrance, admission	nyuujou	1
反則	foul, rule violation	hansoku	1
入選	acceptance, selection	nyuusen	1
式	ceremony	shiki	1
当選	election to office	tousen	1
選択	selection, choice	sentaku	1
気候	climate	kikou	1
補う	supplement, replenish	oginau	1
有力	powerful, influential	yuuryoku	1
国家	state, country	kokka	1
関節	joint	kansetsu	1
使用人	servant	shiyounin	1
足首	ankle	ashikubi	1
手首	wrist	tekubi	1
ぶら下げる	hang, suspend	burasageru	1
首脳	head, leader	shunou	1
打ち明ける	confide in, reveal	uchiakeru	1
それほど	so much, that much	sorehodo	1
悩む	be troubled, suffer	nayamu	1
頭	head, chief	kashira	1
頭痛	headache	zutsuu	1
先頭	forefront, head	sentou	1
たまらない	can't stand, can't put up with	tamaranai	1
自信	self-confidence	jishin	1
顔色	complexion, countenance	kaoiro	1
一同	everybody, all	ichidou	1
青白い	pale, pallid	aojiroi	1
ずるがしこい	sly, cunning	zurugashikoi	1
平気	nonchalant, calm	heiki	1
改正	revision, amendment	kaisei	1
改める	reform, change	aratameru	1
改めて	once again	aratamete	1
改まる	be renewed, change	aratamaru	1
生命	life	seimei	1
命	life	inochi	1
領事館	consulate	ryoujikan	1
領収書	receipt, voucher	ryoushuusho	1
仕組み	construction, arrangement	shikumi	1
組	school class	kumi	1
組む	pair up, partner with	kumu	1
組み合わせる	assort, join together	kumiawaseru	1
組み込む	incorporate, integrate	kumikomu	1
取り組む	grapple, pursue	torikumu	1
録画	videotaping	rokuga	1
織物	cloth, textile	orimono	1
新た	new, fresh	arata	1
進出	advancement	shinshutsu	1
進行	advancement	shinkou	1
進歩	progress, advancement	shinpo	1
国道	national highway	kokudou	1
行進	march, parade	koushin	1
どんどん	steadily	dondon	1
北西	northwest	hokusei	1
南西	southwest	nansei	1
何となく	in some way, somehow	nantonaku	1
推進	promotion	suishin	1
市場	market, exchange	shijou	1
家計	family finances	kakei	1
主任	person in charge, head	shunin	1
支える	support, maintain	sasaeru	1
果たす	accomplish, realize	hatasu	1
担任	supervisor	tannin	1
辞任	resignation	jinin	1
お世辞	compliment, flattery	oseji	1
英和	English-Japanese	eiwa	1
電子	electron, electronic	denshi	1
和英	Japanese-English	waei	1
協議	conference, deliberation	kyougi	1
委員会	committee	iinkai	1
委員	committee member, delegate	iin	1
大手	major companies	oote	1
国鉄	Japan National Railways	kokutetsu	1
支店	branch	shiten	1
商社	trading firm	shousha	1
出勤	to go to work, attendance at work	shukkin	1
運送	shipping, transportation	unsou	1
勤勉	diligence, hard work	kinben	1
ＪＲ	JR, Japan Railways	jieiaaru	1
日数	number of days	nissuu	1
勤め先	employment	tsutomesaki	1
勤め	service, duties	tsutome	1
もしかしたら	possibly, perhaps	moshikashitara	1
勤務	duty, service	kinmu	1
事務	office duty, clerical work	jimu	1
公務員	public officer, government worker	koumuin	1
事務員	clerk, clerical staff	jimuin	1
任務	duty, mission	ninmu	1
従業員	employee, worker	juugyouin	1
良心	conscience	ryoushin	1
法	law, rule	hou	1
雇う	employ, hire	yatou	1
実績	achievement, performance	jisseki	1
当たり前	of course, obvious	atarimae	1
下	low class, inferiority, below	ge	1
次ぐ	rank next to, come next	tsugu	1
水準	level, standard	suijun	1
応募	application	oubo	1
多数	large number, multitude	tasuu	1
大小	size	daishou	1
有する	have, possess	yuusuru	1
集中	concentration, convergence	shuuchuu	1
集合	gathering, assembly	shuugou	1
組合	union, guild	kumiai	1
高度	high degree	koudo	1
国々	nations, countries	kuniguni	1
集まり	gathering, assembly	atsumari	1
様々	various, diverse	samazama	1
募集	recruitment, collection	boshuu	1
早める	move forward (in time), expedite	hayameru	1
答案	examination paper, answer	touan	1
採算	profit	saisan	1
採点	marking, grading	saiten	1
採る	gather, pick	toru	1
供給	supply, provision	kyoukyuu	1
月給	monthly salary	gekkyuu	1
時給	hourly wage	jikyuu	1
一昨年	the year before last	issakunen	1
見込み	hope, prospect	mikomi	1
論文	thesis, paper	ronbun	1
短大	junior college	tandai	1
花束	bunch of flowers	hanataba	1
就任	inauguration, appointment	shuunin	1
就く	set about a task, enter upon	tsuku	1
職員	staff, employee	shokuin	1
職業	occupation, vocation	shokugyou	1
私鉄	private railway	shitetsu	1
名	name, reputation	na	1
都内	in the metropolitan area of Tokyo	tonai	1
有利	advantageous, profitable	yuuri	1
都	metropolis of Tokyo	to	1
不平等	unequal, unfair	fubyoudou	1
退職	retirement, resignation	taishoku	1
退学	withdrawal from school	taigaku	1
早退	early departure	soutai	1
理屈	reason, logic	rikutsu	1
退屈	boring, tedious	taikutsu	1
成立	formation	seiritsu	1
雇用	employment	koyou	1
自ら	oneself	mizukara	1
前提	assumption, premise	zentei	1
条約	treaty	jouyaku	1
次第に	gradually, by degrees	shidaini	1
真相	the truth	shinsou	1
先日	the other day, a few days ago	senjitsu	1
悪質	bad, malignant	akushitsu	1
当局	the authorities concerned	toukyoku	1
認識	recognition, acknowledgment	ninshiki	1
満たす	fill, satisfy	mitasu	1
無関係	irrelevant, unrelated	mukankei	1
投書	contribution, letter	tousho	1
未定	undecided, pending	mitei	1
用件	matter, things to be done	youken	1
参考	reference, consultation	sankou	1
参議院	House of Councilors, Upper House	sangiin	1
お参り	visiting a shrine or temple	omairi	1
参考書	reference book	sankousho	1
参る	go, come	mairu	1
惨め	miserable, pitiable	mijime	1
加わる	join in	kuwawaru	1
さぞ	no doubt, must	sazo	1
いい加減	irresponsible, half-baked	iikagen	1
保険	insurance	hoken	1
申し出る	offer, propose	moushideru	1
人数	number of people	ninzuu	1
レクリエーション	recreation, games	rekurieeshon	1
去る	go away, leave	saru	1
追い出す	turn out, kick out	oidasu	1
追い掛ける	chase, run after	oikakeru	1
追加	addition	tsuika	1
前年	the year before	zennen	1
比率	ratio, percentage	hiritsu	1
見比べる	look from one to another, compare	mikuraberu	1
比較	comparison	hikaku	1
受け取り	receipt	uketori	1
判決	judicial decision, judgment	hanketsu	1
判子	seal, stamp	hanko	1
評判	fame, reputation	hyouban	1
感じ	feeling, impression	kanji	1
感情	feeling, emotion	kanjou	1
感動	emotion, impression	kandou	1
実感	true sense, realization	jikkan	1
込める	put in, concentrate on	komeru	1
思想	thought, conception	shisou	1
感想	thought, impression	kansou	1
空想	fantasy, daydreams	kuusou	1
当たり	hit, success	atari	1
予想	prospect, expectation	yosou	1
理想	ideal	risou	1
生ずる	arise, occur	shouzuru	1
合成	composition, synthesis	gousei	1
現像	developing a film	genzou	1
想像	imagination	souzou	1
気象	weather condition	kishou	1
象	elephant	zou	1
抽象的	abstract	chuushouteki	1
製品	manufactured goods	seihin	1
回路	circuit	kairo	1
ハードウェア	hardware	haadouea	1
保障	guarantee, security	hoshou	1
悪化	worsening, aggravation	akka	1
傷	wound, scar	kizu	1
負傷	hurt, injury	fushou	1
無意識	unconsciously, without thinking	muishiki	1
交換	exchange, bartering	koukan	1
消火器	fire extinguisher	shoukaki	1
変換	change, conversion	henkan	1
交替	alternation, shift	koutai	1
部品	parts, accessories	buhin	1
水着	bathing suit	mizugi	1
取り替える	change, replace	torikaeru	1
立て替える	pay for another, pay in advance	tatekaeru	1
災難	calamity, misfortune	sainan	1
水害	flood damage	suigai	1
有害	harmful, hazardous	yuugai	1
飲料水	drinking water	inryousui	1
被せる	cover	kabuseru	1
被害	damage, harm	higai	1
物資	commodities, goods	busshi	1
所々	here and there, at places	tokorodokoro	1
破壊	breaking, destruction	hakai	1
くだらない	worthless, trifling	kudaranai	1
体温計	thermometer	taionkei	1
救う	save, relieve	sukuu	1
救い	rescue, relief	sukui	1
救助	rescue, relief	kyuujo	1
有り難い	welcome, grateful	arigatai	1
もはや	already, no longer	mohaya	1
助かる	be helped, be rescued	tasukaru	1
支援	support, backing	shien	1
援助	aid, assistance	enjo	1
要請	request, demand	yousei	1
派手	showy, flashy	hade	1
派出所	branch office, police box	hashutsujo	1
小遣い	pocket money, spending money	kozukai	1
派遣	dispatch, sending	haken	1
犯す	offend against, rape	okasu	1
特定	specific, particular	tokutei	1
犯人	criminal, offender	hannin	1
明白	clear, plain	meihaku	1
犯罪	offense, crime	hanzai	1
罪	crime, sin	tsumi	1
強盗	robbery	goutou	1
盗難	robbery, burglary	tounan	1
奪う	rob, take by force	ubau	1
自殺	suicide	jisatsu	1
捕まる	be caught, be arrested	tsukamaru	1
国外	abroad, outside the country	kokugai	1
逃げ出す	make a break for, run off	nigedasu	1
逃げ道	escape route	nigemichi	1
作戦	tactic, strategy	sakusen	1
主題	subject, theme	shudai	1
戦前	prewar period	senzen	1
勝ち	win, victory	kachi	1
戦う	wage war, fight	tatakau	1
挑戦	challenge	chousen	1
敗戦	lost battle, defeat	haisen	1
戦い	war, match	tatakai	1
敗れる	be defeated, be beaten	yabureru	1
大戦	world war	taisen	1
政党	political party	seitou	1
争う	compete, fight	arasou	1
競技	match, sporting event	kyougi	1
高速道路	freeway, highway	kousokudouro	1
混雑	confusion, disorder	konzatsu	1
割合	rate, proportion	wariai	1
混ぜる	blend, mix by stirring	mazeru	1
戦後	postwar period	sengo	1
統一	unity, coordination	touitsu	1
統計	statistics	toukei	1
総会	general meeting	soukai	1
総合	synthesis, integration	sougou	1
総数	total	sousuu	1
捜す	look for, search for	sagasu	1
捜査	criminal investigation, search	sousa	1
小数	decimal	shousuu	1
残らず	entirely, without exception	nokorazu	1
索引	index	sakuin	1
人工	artificial	jinkou	1
ツル	crane, stork	tsuru	1
湖	lake	mizuumi	1
飛び込む	dive into	tobikomu	1
深める	deepen, intensify	fukameru	1
物事	things, everything	monogoto	1
注意深い	careful, discreet	chuuibukai	1
落ち着く	calm down, settle in	ochitsuku	1
落ち着き	presence of mind, composure	ochitsuki	1
がっかり	feel disappointed	gakkari	1
がくんと	sharply	gakunto	1
段落	end of paragraph	danraku	1
見落とす	miss, fail to notice	miotosu	1
落第	failing an exam	rakudai	1
まあまあ	now now	maamaa	1
日中	during the day	nitchuu	1
水面	surface of the water	suimen	1
交流	interaction, contact	kouryuu	1
一流	top-ranked, world-class	ichiryuu	1
海流	ocean current	kairyuu	1
三流	third-rate	sanryuu	1
小川	brook, stream	ogawa	1
流れ	flow, stream	nagare	1
流通	circulation, distribution	ryuutsuu	1
中間	middle, between	chuukan	1
中流	mid-stream, middle reaches	chuuryuu	1
二流	second-rate	niryuu	1
流行	fashion, trend	hayari	1
流行	fashion, trend	ryuukou	1
洪水	flood, inundation	kouzui	1
崩す	destroy, break	kuzusu	1
水洗	flushing, washing	suisen	1
洗い物	dishes to be washed	araimono	1
じゃぶじゃぶ	vigorously	jabujabu	1
洗面	washing one's face	senmen	1
洗面器	washbowl, sink	senmenki	1
原料	raw material	genryou	1
代わり	substitution	kawari	1
さす	pour	sasu	1
混ざる	be mixed, be stirred	mazaru	1
沈める	sink, submerge	shizumeru	1
引き上げる	pull up, salvage	hikiageru	1
地平線	horizon	chiheisen	1
夕日	setting sun	yuuhi	1
沈没	sinking	chinbotsu	1
将来	future, in the future	shourai	1
確実	certain, secure	kakujitsu	1
気楽	easygoing, comfortable	kiraku	1
永遠	eternity	eien	1
永久	permanence, eternity	eikyuu	1
全速力	full speed, full steam	zensokuryoku	1
浮く	float	uku	1
上がる	eat, drink	agaru	1
感覚	sense, sensation	kankaku	1
世間	world, the public	seken	1
北風	north wind	kitakaze	1
冷ます	cool, let cool	samasu	1
冷え込む	get colder	hiekomu	1
冷やかす	tease, jeer	hiyakasu	1
かちかち	hard, solid	kachikachi	1
冷凍	freezing, cold storage	reitou	1
車庫	car shed, garage	shako	1
内臓	internal organs	naizou	1
快晴	fair and clear weather	kaisei	1
適用	application	tekiyou	1
適する	suit, be suitable	tekisuru	1
適当	suitable, appropriate	tekitou	1
指摘	identification, pointing out	shiteki	1
湿度	humidity	shitsudo	1
