Vocab 	Vocab Furigana 	Vocab Kana 	Vocab Meaning 	Part of Speech 	Sentence Furigana 	Sentence Meaning 	Sentence Lookup 	Example 	Frequency 	Optimized Core Index 
真似	真似[まね]	mane	imitation, mimicry	verbal noun	娘[むすめ]はよく 私[わたし]の 真似[まね]をします。	My daughter often mimics me.	娘 【むすめ; こ; じょう】  (むすめ) (n) (hum) daughter; (こ; じょう) (suf) child  私の 【わたしの】  (pn,adj-no) my; mine	馬鹿[ばか]な 真似[まね]はするな。 Stop making a fool of yourself.  彼女[かのじょ]はミッキーマウスの 真似[まね]がとても 上手[じょうず]だ。 She does Mickey Mouse very well. トムはその 歌手[かしゅ]をそっくりまねできる。 Tom can imitate that singer perfectly.  彼女[かのじょ]は 先生[せんせい]の 真似[まね]がうまい。 She is very good at imitating her teacher. なめた 真似[まね]するな！ Do you think I was born yesterday? オウムは 人[ひと]の 言葉[ことば]をまねできる。 A parrot can imitate human speech.  馬鹿[ばか]なまねはよしなさい。 Stop making a fool of yourself.  子供[こども]みたいな 真似[まね]をするのはやめなさい。 Stop acting the child.  子供[こども]じみたまねはよしなさい。 Don't be so childish. この 鳥[とり]は 人[ひと]の 声[こえ]を 真似[まね]できる。 This bird can imitate the human voice.	6146	3563	0
もうかる	もうかる	moukaru	be profitable	verb	彼[かれ]の 商売[しょうばい]はもうかっているらしいね。	His business seems profitable.	彼の 【かれの; あの; かの】  (adj-pn) (1) (かれの) his; (2) (あの,かの) that over there  商売 【しょうばい】  (n,vs) trade; business; commerce; transaction; occupation  かって  (adv,adj-no) (1) once; before; formerly; ever; former; ex-; (2) never (with negative verb) らしい  (adj,suf) appears like	この 仕事[しごと]は 儲[もう]からない。 This work doesn't pay. この 商売[しょうばい]は 儲[もう]かりません。 There isn't much money in this business. この 国[くに]では、 貸金[かしきん] 業[ぎょう]は 儲[もう]かるビジネスだ。 Money lending is a profitable business in this country. その 仕事[しごと]で 少[すこ]しはお 金[かね]が 儲[も]かったかい。 Did you make any money out of that business?  何[なに]も 賭[か]けなければ、 何[なに]ももうからない。 Nothing ventured, nothing gained. この 仕事[しごと]ではほとんど 金[きん]がもうからないだろう。 Little money will come from this business. マイクは 仕事[しごと]はとても 気に入[きに]っているが、もうからない。 Though Mike likes his job very much, it does not pay well. その 事業[じぎょう]はここ６ヶ 月[げつ]もうかっていない。 The business hasn't been paying for the last six months.  競馬[けいば]で 稼[かせ]ぐ！ありえないほど 儲[もう]かる 競馬[けいば]ノウハウ 集[しゅう]！ Earn money on the races! Know-how collection on horse racing will have you raking it in! みんな儲かるけれど、早めに買った人はもっと儲かる。 Everyone may profit, but early participants profit more.	288323	4972
レクリエーション	レクリエーション	rekurieeshon	recreation	noun	町内[ちょうない] 会[かい]のレクリエーションに 参加[さんか]したの。	I took part in the recreational activities organized by the neighborhood association.	町内会 【ちょうないかい】  (n) neighborhood association; neighbourhood association  レクリエーション  (n) (1) recreation  参加した 【さんかした】  (n,vs,adj-no) participation	この 公園[こうえん]はリクリエーションにもってこいだ。 This park lends itself to recreation. スキーをすることは 良[よ]いレクリエーションである。 Skiing is a good form of recreation.  基本[きほん] 計画[けいかく]には、レクリエーションだけでなく 職[しょく]を 供給[きょうきゅう]する 計画[けいかく]も 含[ふく]まれている。 The master plan includes programs to provide employment as well as recreation. 私たちはバスの中でレクリエーションを楽しんだ。 We enjoyed some recreation on the bus. スキーをすることは良いレクリエーションである。 Skiing is a good form of recreation. 私はそこで野外レクリエーションを専攻しました。 There, I majored in outdoor recreation. 基本計画には、レクリエーションだけでなく職を供給する計画も含まれている。 The master plan includes programs to provide employment as well as recreation. 合気道を一般に普及する上で「健康体操」「レクリエーション」という宣伝も多くなされた。 In order to promote aikido to the general public, it was often promoted as 'health exercise' and 'recreation.' 現在は湖水浴や釣り、クルージングなどのレクリエーション観光地でもある。 Nowadays, you can enjoy various types of recreation in Lake Biwa, including fishing and cruising. 端末から供給されたゴルフ、ラフティング、ハイキング、温泉などのレクリエーション項目を指定することにより、それらのレクリエーションが実施可能な地域を検索する。 By designating recreation items such as golf, rafting, hiking and hot spring or the like supplied from a terminal, areas capable of performing these recreations are retrieved.	58679	4984
ろうそく	ろうそく	rousoku	candle	noun	バースデーケーキにろうそくを 立[た]てました。	We put candles on the birthday cake.	バースデーケーキ  (n) birthday cake  ろうそく  (n) candle (potential or imperative) 立つ 【たつ】  (v5t,vi) (1) to stand; to rise; to stand up; (v5t,vi) (2) to find oneself (e.g. in a difficult position); (v5t,vi) (3) to depart (on a plane, train, etc.)	ロウソクが 燃え尽[もえつ]きた。 The candle burned out. ろうそくは 立ち消[たちぎ]えた。 The candle has gone out. セシルはろうそくに 火[ひ]をつけた。 Cecil lit a candle. ケンがろうそくに 火[ひ]をつけた。 Ken lit the candles.  蝋燭[ろうそく]がひとりでに 消[き]えました。 The candle went out by itself. ろうそくはひとりでに 消[き]えた。 The candle went out of itself. ろうそくがひとりでに 消[き]えた。 The candle went out by itself. ろうそくに 火[ひ]をつけてください。 Please light a candle. そのろうそくがテーブル 掛[か]けを 燃[も]やした。 Those candles burned the table.  彼[かれ]はローソクを 吹[ふ]き 消[け]した。 He blew out the candle.	15824	4987	1
生き生きと	生[い]き生[い]きと	ikiikito	lively, vigorously	adverb	子供[こども]たちが 生[い]き 生[い]きと 遊[あそ]んでいるね。	The kids are playing with full spirit.	子供たち 【こどもたち】  (n) children  生き生きと 【いきいきと】  (adv,adv-to,vs) vividly; lively  (te-form) 遊ぶ 【あそぶ】  (v5b,vi) (1) to play; to enjoy oneself; to have a good time; (2) to mess about (with alcohol, gambling, philandery, etc.); (3) to be idle; to do nothing; to be unused; (4) to go to (for pleasure or for study); (5) (in baseball) to intentionally throw a ball to lower the batter's concentration	ペプシでもう 一度[いちど] 生き生[いきい]きと。 Come Alive with Pepsi.  夢[ゆめ]が 生き生[いきい]きと 記憶[きおく]に 残[のこ]ることもある。 Dreams may be vivid and memorable.  彼[かれ]は 生き生[いきい]きとした 想像[そうぞう] 力[りょく]を 持[ ]っている。 He has a very vivid imagination.  時[とき]を 超[こ]えて 古代[こだい]の 昆虫[こんちゅう]たちが 琥珀[こはく]の 中[なか]で 生き生[いきい]きと 踊[おど]る。 Transcending time, the insects of ages gone past dance livelily in amber. この 本[ほん]は 南北戦争[なんぼくせんそう] 中[ちゅう]のアメリカの 生活[せいかつ]を 生き生[いきい]きと 描[えが]いている。 This book gives a good picture of life in America during the Civil War.  彼[かれ]は、はっきり 生き生[いきい]きと 話[はな]すのが 常[つね]だ。 彼[かれ]は、いつもどんな 問題[もんだい]も 端的[たんてき]に 話[はな]す。 He makes it a point to speak clearly and graphically. He always talks turkey about any problem. あなたは生き生きとしている。 You are energetic. ペプシでもう一度生き生きと。 Come Alive with Pepsi. その後、だんだん生き生きとしてきた。 Afterwards he got more animated. 雨の後すべてが生き生きしてみえた. Everything looked fresh after the rain.		2881	1
速達便	速達便[そくたつびん]	sokutatsubin	special delivery mail, express mail	noun	速達[そくたつ] 便[びん]なら 明日[あした]の 午前[ごぜん] 中[ちゅう]に 届[とど]きます。	It will arrive tomorrow morning if you send it by express mail.	速達便 【そくたつびん】  (n) (abbr) special delivery mail; express delivery post  明日の 【あしたの】  (n-t) tomorrow  午前中 【ごぜんちゅう】  (n) this morning; in the morning; throughout the morning  (polite, non-past) 届く 【とどく】  (v5k,vi) (1) to reach; to arrive; to get through; to get at; (2) to be attentive; to pay attention; (3) to be delivered; to carry (e.g. sound)	速達[そくたつ] 便[びん]でお 願[ねが]いします。 Please send it by special delivery. 速達便でお願いします。 Please send it by special delivery. 品物を彼のもとに速達[至急]便で送ろう. We will consign the goods to him by express. 速達便で送って頂いたはずですが、まだ届いていません。（メールで書く場合） It is supposed to have been sent by express mail, but it is not delivered yet. 庁からの郵便物は，速達便又は航空便によって送付されるものを除いて，郵送代無料の地位を享受する。速達便又は航空便の場合は，書類の各頁につき補足料金10フランを請求する。 The parcels from the Service shall enjoy postage-free status with the exception of those which are sent by express or by air. A supplementary fee of 10 francs per page of document will be asked in this case. 国際速達便をご利用頂くと荷物に追跡番号をつけることができます。（メールで書く場合） The package will have a tracking number if you opt for international express delivery service. 速達便で発送しましたので、一両日中にはお手元に届くかと存じます。（メールで書く場合） It was sent by express mail, so it should be delivered to you in a day or two. 郵便，書留便，速達便若しくは宅配便により又は適法に認証された電子的送信により送付の場合は，それを同封した書状が，郵便，書留便，速達便若しくは宅配便による通常の過程で又は場合により適法に認証された電子的送信により届けられる筈の時に提出され，配達され，作成され若しくは差し出されたものとみなす。そのような送付を立証するに当たっては，書状が適正に名宛され，かつ，送信されたことを明らかにすれば十分とする。 If it is sent by post or registered post or speed post or courier service or by electronic transmission duly authenticated, it shall be deemed to have been filed, left, made or given at the time when the mail containing the same would have been delivered in the ordinary course of post or registered post or speed post or courier service, or by electronic transmission duly authenticated, as the case may be. In proving such sending, it shall be sufficient to show that the mail was properly addressed and transmitted. 速達料金，運賃，郵便料金，電話代，用紙代その他関連経費を含むファクシミリ料金，及び庁に送付する事物に関する他のすべての料金は，全額を前納しなければならない。 Express charges, freight, postage, telephone, telefacsimile including cost of paper and other related expenses, and all other charges on any matter sent to the Office must be prepaid in full. 速達料金，運賃，郵便料金，通話代，用紙代その他関連経費を含むファクシミリ料金及び庁に送付する事物に関する他のすべての料金は，全額を前納しなければならない。 Express charges, freight, postage, telephone, telefacsimile including cost of paper and other related expenses, and all other charges on any matter sent to the Office must be prepaid in full.	101510	3376	1
必死に	必死[ひっし]に	hisshini	desperately	adverb	必死[ひっし]に 単語[たんご]を 暗記[あんき]したよ。	I struggled to memorize the words.	必死に 【ひっしに】  (adj-na,adj-no) (1) frantic; desperate; (2) inevitable death; (3) brinkmate (inevitable checkmate) (shogi)  単語 【たんご】  (n,adj-no) (ling) word; vocabulary; (usually) single-character word  暗記した 【あんきした】  (n,vs) memorization; memorisation; learning by heart	"彼[かれ]は 必死[ひっし]に 逃[に]げた。 He ran for his life.  学生[がくせい]は 当然[とうぜん] 必死[ひっし]に 勉強[べんきょう]するはずだ。 Students are supposed to study hard. その 奴隷[どれい]は 必死[ひっし]に 逃[に]げた。 The slave ran away for his life.  両親[りょうしん]は 彼[かれ]を 大学[だいがく]にやろうと 必死[ひっし]にがんばった。 His parents battled to send him to college.  暗闇[くらやみ]の 中[なか]、 俺[おれ]は 遠[とお]ざかる 後姿[うしろすがた]に 必死[ひっし]に 手[て]を 伸[の]ばす。 In the darkness, I frantically reach out towards the receding figure.  彼女[かのじょ]は 殺人[さつじん] 鬼[おに]から 逃[のが]れようとして 必死[ひっし]に 走[は]った。 She ran for her life to get away from the killer.  非常[ひじょう]に 怖[こわ]くなって 彼[かれ]は 必死[ひっし]に 逃[に]げた。 He was so frightened that he ran for his life.  来年[らいねん]の 今[いま]ごろ、 私[わたし] 達[たち]は 必死[ひっし]に 勉強[べんきょう]しているでしょう。 We will be studying very hard this time next year. 「なぜ 英語[えいご]を 必死[ひっし]に 勉強[べんきょう]していますか」「 英語[えいご]の 先生[せんせい]になるためです」 ""Why are you studying English so hard?"" ""To be an English teacher.""  彼[かれ]の 新[あたら]しいヘアスタイルを 見[み]たとき、 笑[わら]うまいと 必死[ひっし]に 努力[どりょく]した。 When I saw his new hairstyle I tried hard to suppress my laughter."	15513	3830	1
上がる	上[あ]がる	agaru	eat, drink (honorific)	verb	冷[さ]めないうちにどうぞお 上[あ]がりください。	Please eat it while it's still hot.	(plain, negative, nonpast) 冷める 【さめる】  (v1,vi) (1) to become cool; to come down (fever); (2) to cool down (interest); to abate; to subside; to dampen  上がり下りした 【あがりおりした】  (n,vs) going up and down; ascent and descent	階段[かいだん]を 上[あ]がる。 Go up the stairs.  物価[ぶっか]は 上[あ]がる 一方[いっぽう]だ。 Prices go on rising.  熱[ねつ]が 上[ ]がった。 The fever has risen.  物価[ぶっか]が 上[あ]がりつつある。 Prices are going up.  幕[まく]があがった。 The curtain rose.  歓声[かんせい]が 上[ ]がった。 Shouts of joy burst forth.  物価[ぶっか]が 上[ ]がっている。 Prices are going up.  拍手[はくしゅ]が 湧[わ]き 上[ ]がった Applause broke out.  旗[はた]が 揚[ ]がっている。 The flag is up.  日本[にっぽん]の 円[えん]は 上[ ]がった。 The Japanese yen rose.	854	2081	1
荒い	荒[あら]い	arai	harsh, rough	adjective	うちの 犬[いぬ]は 気[き]が 荒[あら]い。	Our dog is bad-tempered.	犬 【いぬ】  (n) (1) dog (Canis (lupus) familiaris); (2) snoop (i.e. a detective, a spy, etc.); (n-pref) (3) counterfeit; inferior; useless; wasteful  気 【き; げ】  (き) (n) spirit; mood; (げ) (suf) (uk) seeming; giving the appearance of; giving one the feeling of  荒い 【あらい】  (adj-i) rough; rude; wild	彼[かれ]は 運転[うんてん]が 荒[あら]い。 He drives roughly.  彼女[かのじょ]は 言葉[ことば] 使[ずか]いが 荒[あら]い。 She is rough in speech.  彼[かれ]は 金[きん] 使[ずか]いが 荒[あら]い。 He is free with his money.  僕[ぼく]のボスは 人使[ひとずか]いが 荒[あら]いんだ。 My boss is a slave driver. 波が荒い. The sea is rough [running high]. 彼は金使いが荒い。 He is free with his money. 彼は運転が荒い。 He drives roughly. 荒い Arai (literally, harsh) きめの荒い肌. coarse skin 荒い織り地. a harsh texture	10359	5642	0
注ぐ	注[そそ]ぐ	sosogu	pour into (liquid)	verb	みんなのグラスにジュースを 注[そそ]いだよ。	I poured juice into everyone's glass.	みんな  (adv,n) all; everyone; everybody グラス  (n) (1) glass; (2) grass  ジュース  (n) (1) juice; (2) soft drink (any (sweet) non-alcoholic beverage, carbonated or uncarbonated); (3) deuce  (plain, past) 注ぐ 【そそぐ】  (v5g) (1) to pour (into); to fill; (2) to sprinkle on from above; to shed (e.g. tears); (3) to concentrate one's spirit or strength on; (v5g,vi) (4) to fall onto (of rain, snow)	彼女[かのじょ]はカップにミルクを 注[そそ]いだ。 She poured milk into the cup.  火[ひ]に 油[あぶら]を 注[そそ]ぐだけだ。 It only adds fuel to the fire.  小川[おがわ]が 湖[みずうみ]に 注[そそ]いでいる。 A stream flows into the lake.  彼女[かのじょ]はミルクをボールに 注[そそ]いだ。 She poured the milk into a bowl.  彼女[かのじょ]はブランデーをグラスに 注[そそ]いだ。 She poured brandy into the glasses.  彼女[かのじょ]はカップに 熱湯[ねっとう]を 注[そそ]いだ。 She poured boiling water into the cup.  彼[かれ]はいつも 仕事[しごと]に 全力[ぜんりょく]を 注[そそ]ぐ。 He always works with all his might.  彼女[かのじょ]はボールの 中[なか]にミルクを 注[そそ]いだ。 She poured the milk into a bowl. その 川[かわ]は 湖[みずうみ]に 注[そそ]いでいます。 The river discharges into a lake.  流[なが]れは 池[いけ]に 注[そそ]いでいる。 The stream flows into the pond.	4564	3862	1
流行	流行[りゅうこう]	ryuukou	fashion, trend	verbal noun	このスタイルは 今年[ことし]の 流行[りゅうこう]です。	This style is in fashion this year.	スタイル  (n) (1) style; (2) (female) figure  今年の 【ことしの】  (n-adv,n-t) this year  流行 【はやり】  (n,vs,adj-no) fashion; fad; vogue; craze	流行[りゅうこう]を 追[お]うな。 Don't follow the fashion.  流行[りゅうこう]はすぐ 変[か]わります。 Fashions change quickly. ロングスカートは 今[こん]はやりだ。 Long skirts are in fashion. これが 最新[さいしん]の 流行[りゅうこう]です。 This is the latest fashion.  彼[かれ]らは 流行[りゅうこう]に 敏感[びんかん]だ。 They are susceptible to changes in fashion. このコートは 流行[りゅうこう] 遅[おく]れだ。 This coat is out of date.  彼女[かのじょ]は 流行[りゅうこう]に 敏感[びんかん]である。 She is sensitive to current fashions. ミニスカートはもう 流行[りゅうこう] 遅[おく]れだ。 Short skirts are already out of fashion.  靴下[くつした]にも 流行[りゅうこう]がある。 There are fashions for socks as well.  今[いま]や 留学[りゅうがく]は 大[だい] 流行[りゅうこう]だ。 Studying abroad is very common now.	3310	4448	1
額	額[ひたい]	hitai	forehead	noun	額[ひたい]に 汗[あせ]をかいたよ。	My forehead is covered in sweat.	額 【がく; ひたい】  (がく) (n,n-suf) (1) picture (framed); (2) amount or sum (of money); (ひたい) (n) forehead; brow  汗をかく 【あせをかく】  (exp) to perspire; to sweat	この 額[がく]は 税込[ぜいこ]みです。 This amount includes tax.  額[がく]の 汗[あせ]をふきなさい。 Wipe the sweat from your brow.  彼女[かのじょ]は 額[がく]に 皺[しわ]を 寄[よ]せた。 She wrinkled her brows.  彼[かれ]の 額[がく]は 汗[あせ]まみれだった。 Sweat bathed his forehead.  彼[かれ]の 額[がく]の 傷[きず]は 目立[めだ]つ。 The scar on his forehead is conspicuous.  額[がく]は 熱[ねつ]でひどく 熱[あ]かった。 My forehead burned with fever.  彼[かれ]の 額[がく]の 傷痕[きずあと]は 目立[めだ]つ。 The scar on his forehead is conspicuous.  彼[かれ]は 私[わたし]の 額[がく]にキスした。 He kissed me on the forehead.  彼[かれ]は 額[がく]の 汗[あせ]を 拭[ぬ]った。 He wiped the sweat from his brow.  彼女[かのじょ]の 額[がく]はひどく 熱[あ]かった。 Her forehead burned with fever.	996	3130	0
一種	一種[いっしゅ]	isshu	sort of, almost	adverb	これは 一種[いっしゅ] 独特[どくとく]の 味[あじ]がするね。	This has an unusual sort of taste.	一種 【いっしゅ】  (adv,n) species; kind; variety  独特の 【どくとくの】  (n,adj-no,adj-na) peculiarity; uniqueness; characteristic  味 【あじ】  (adj-na,n) (1) flavor; flavour; taste; (2) charm; style; (3) experience; (adj-na) (4) smart; clever; witty; strange	それはオレンジの 一種[いっしゅ]だ。 It is a kind of orange. これはパンの 一種[いっしゅ]だ。 This is a kind of bread. これは 一種[いっしゅ]のラブレターだよ。 This is a kind of love letter.  熱[ねつ]はエネルギーの 一[いち] 種[しゅ]である。 Heat is a form of energy. これは 食べ物[たべもの]の 一[いち] 種[しゅ]です。 This is a kind of food.  英語[えいご]は 一種[いっしゅ]の 世界[せかい] 言語[げんご]である。 English is a kind of universal language. これはスミレの 一[いち] 種[しゅ]です。 This is a variety of violet.  老化[ろうか] 現象[げんしょう]の 一[いち] 種[しゅ]です。 This is a condition caused by aging. この 花[はな]はバラの 一[いち] 種[しゅ]です。 This flower is a kind of rose. それは 一種[いっしゅ]の 冗談[じょうだん]にすぎない。 It's nothing but a kind of joke.	3202	3509	1
抱く	抱[だ]く	daku	hug, hold	verb	祖母[そぼ]がうちの 猫[ねこ]を 抱[だ]いているわよ。	Grandma is holding our cat.	祖母 【そぼ】  (n,adj-no) grandmother  猫 【ねこ】  (n) (1) cat; (2) shamisen; (3) geisha; (4) (abbr) wheelbarrow; (5) (abbr) clay bed-warmer; (6) (uk) (col) submissive partner of a homosexual relationship  (te-form) 抱く 【いだく】  (v5k,vt) (1) to embrace; to hold in the arms (e.g. a baby); to hug; (v5k,vt) (2) to harbour (e.g. grudge) (harbor); to bear (e.g. a grudge); to entertain (e.g. suspicion)	少年[しょうねん]よ、 大志[たいし]を 抱[だ]け。 Boys, be ambitious.  赤ん坊[あかんぼう]はやさしく 抱[いだ]きなさい。 Hold the baby gently.  彼[かれ]は 大望[たいぼう]を 抱[だ]いていた。 He had ambition.  子供[こども]たちよ 大志[たいし]をいだけ。 Be ambitious, children.  欲望[よくぼう]は 夢[ゆめ]に 抱[いだ]かれる。 Desire is embraced in a dream.  彼[かれ]は 空想[くうそう]を 抱[だ]いた。 He got ideas into his head.  彼女[かのじょ]は 兄[あに]にあこがれを 抱[だ]いている。 She adores her older brother.  彼[かれ]は 彼女[かのじょ]をしっかりと 抱[だ]いた。 He held her tightly.  彼[かれ]はキリスト 教[きょう]に 偏見[へんけん]を 抱[だ]いている。 He's biased against Christianity.  彼[かれ]は 私[わたし]に 恨[うら]みを 抱[だ]いた。 He bore a grudge against me.	2122	5687	0
