#	week	day	japanese	pronounciation	translation	1d	2d	6d	12d	30d	100d	Last studied	Correct_Streak
140	2	7	電車	densha	train	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
141	3	1	探す	sagasu	search for, look for	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
142	3	1	紙	kami	paper	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
143	3	1	歌う	utau	sing	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
144	3	1	遅い	osoi	slow, late	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
145	3	1	首	kubi	neck	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
146	3	1	速い	hayai	fast	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
147	3	1	一緒に	issho ni	together, at the same time	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
148	3	1	今月	kongetsu	this month	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
149	3	1	遊ぶ	asobu	play	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
150	3	1	遠い	tooi	far, distant	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
151	3	2	弱い	yowai	weak	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
152	3	2	耳	mimi	ear	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
153	3	2	座る	suwaru	sit, sit down	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
155	3	2	浴びる	abiru	take (a shower)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
156	3	2	肩	kata	shoulder	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
157	3	2	寝る	neru	lie down and sleep, go to sleep	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
158	3	2	消す	kesu	switch off, turn off	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
159	3	2	元気	genki	healthy, energetic	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
160	3	2	全部	zenbu	all, whole	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
161	3	3	去年	kyonen	last year (colloquial)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
162	3	3	引く	hiku	draw, pull	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
163	3	3	図書館	toshokan	library	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
164	3	3	上げる	ageru	raise, lift	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
165	3	3	緑	midori	green	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
166	3	3	腕	ude	arm	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
171	3	4	近く	chikaku	near, close to	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
173	3	4	かなり	kanari	fairly, rather	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
